Car_ID,Year,Make,Model,Scores,Rank
128,2010,Infiniti,G37,128,1
124,2015,Jeep,Wrangler,124,2
15,2014,Audi,S4,120,3
113,2012,Acura,"Tsx sportwagon",116,4
83,2014,Honda,Accord,112,5
112,2008,Acura,TL,110,6
65,2009,Honda,Fit,106,7
50,2015,Acura,TLX,102,8
31,2007,Honda,Fit,102,9
91,2010,Mitsu,Lancer,102,10
216,2007,Chrystler,300,96,11
228,2010,Nissan,370,92,12
175,2006,Honda,Civic,92,13
126,2010,Volkswagen,Eos,92,14
13,2016,Honda,"Civic 1.5t",92,15
127,2013,Acura,Tsx,86,16
63,2010,Honda,Civic,86,17
161,2012,Nissan,370z,84,18
3,2011,Nissan,370,84,19
180,2011,Volkswagen,Gti,82,20
57,2015,Scion,Frs,80,21
25,2012,Mercedes,C250,78,22
106,2007,Acura,"Tl type s",78,23
36,2016,Subaru,WRX,74,24
178,2009,Honda,Oddesy,72,25
39,2011,Honda,Civic,72,26
103,2010,Acura,Tsx,72,27
84,2012,Mercedes,Cl63amg,70,28
33,2015,Subaru,Sti,68,29
30,2012,Hyundai,Celoster,66,30
123,2006,Lexus,Sc430,66,31
1051,2006,Acura,Tsx,66,32
218,2010,Chevy,Camaro,64,33
41,2012,Acura,Tsx,64,34
158,2007,Nissan,350z,64,35
48,2015,Acura,TLX,62,36
21,2009,Subaru,WRX,62,37
23,1998,Subaru,Legacy,62,38
12,1990,Nissan,240,62,39
38,2017,Hyundai,"Elantra sport",62,40
35,2016,Honda,Civic,60,41
53,2013,Subaru,WRX,60,42
142,1993,Toyota,Supra,58,43
110,2011,Toyota,Camry,58,44
156,2014,Volkswagen,Gli,56,45
115,2001,Honda,Crv,56,46
43,2011,Toyota,"4 Runner",54,47
37,2015,Subaru,Sti,54,48
137,2017,Ford,"Focus rs",54,49
6,2016,Volkswagen,"Golf r",54,50
134,2013,Subaru,WRX,52,51
225,2016,Acura,TLX,52,52
51,2015,Subaru,WRX,50,53
5,2003,Acura,Rsx,50,54
170,2014,Chevy,Cruze,50,55
189,2012,Toyota,"Fj cruiser",50,56
88,2008,Honda,Accord,48,57
104,2014,Honda,"Civic si",48,58
52,2007,Mazda,"Speed 3",48,59
211,2004,Acura,Tsx,48,60
232,2018,Subaru,WRX,46,61
8,1991,Nissan,Skyline,44,62
140,1995,Mitsu,Evo8,44,63
Showcar,2014,Nissan,Gtr,44,64
121,2012,Acura,TL,44,65
118,1993,Honda,Civic,44,66
9,1996,Nissan,240,44,67
122,2011,Infiniti,M37s,44,68
85,2017,Honda,Accord,42,69
